[59.5981912  30.18646756] 

6 min 22 sec   SP1: 52.0  SP2: 24.0    T1: 45.7666   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 23 sec   SP1: 52.0  SP2: 24.0    T1: 46.088899999999995   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 24 sec   SP1: 52.0  SP2: 24.0    T1: 46.088899999999995   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 25 sec   SP1: 52.0  SP2: 24.0    T1: 46.088899999999995   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 26 sec   SP1: 52.0  SP2: 24.0    T1: 46.088899999999995   T2: 29.6516     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 27 sec   SP1: 52.0  SP2: 24.0    T1: 46.411199999999994   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 28 sec   SP1: 52.0  SP2: 24.0    T1: 46.411199999999994   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 29 sec   SP1: 52.0  SP2: 24.0    T1: 46.411199999999994   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
[5.95500358e+01 1.97449107e-02] 

6 min 30 sec   SP1: 52.0  SP2: 24.0    T1: 46.411199999999994   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 31 sec   SP1: 52.0  SP2: 24.0    T1: 47.700399999999995   T2: 29.6516     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 32 sec   SP1: 52.0  SP2: 24.0    T1: 47.700399999999995   T2: 29.6516     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 33 sec   SP1: 52.0  SP2: 24.0    T1: 47.700399999999995   T2: 29.6516     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 34 sec   SP1: 52.0  SP2: 24.0    T1: 47.700399999999995   T2: 29.6516     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 35 sec   SP1: 52.0  SP2: 24.0    T1: 47.700399999999995   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
