time,Q1,T1,Tsp1,Q2,T2,Tsp2
7819.4144196510315,,24.12,43.0,,23.48,50.0
7824.365946292877,,24.09,43.0,,23.48,50.0
7829.33211183548,,24.02,43.0,,23.48,50.0
7834.313156366348,,24.09,43.0,,23.48,50.0
7839.22522521019,,24.12,43.0,,23.48,50.0
7845.219446182251,,24.09,43.0,,23.48,50.0
7850.16720533371,,24.09,43.0,,23.48,50.0
7855.130205154419,,24.09,43.0,,23.48,50.0
7860.037214279175,,24.06,43.0,,23.48,50.0
7864.955142259598,,24.06,43.0,,23.48,50.0
7869.912576198578,,24.02,43.0,,23.48,50.0
7874.858441114426,,24.02,43.0,,23.48,50.0
7879.920784473419,,24.09,43.0,,23.48,50.0
7884.892108201981,,24.12,43.0,,23.48,50.0
7889.825277090073,,24.09,43.0,,23.48,50.0
7894.742470502853,,24.02,43.0,,23.48,50.0
7899.674728155136,,24.02,43.0,,23.48,50.0
7904.64559173584,,24.12,43.0,,23.48,50.0
7909.5640568733215,,24.06,43.0,,23.48,50.0
7914.491088151932,,24.12,43.0,,23.48,50.0
7919.403095006943,,24.06,43.0,,23.48,50.0
7924.3743216991425,,24.09,43.0,,23.48,50.0
7929.309851169586,,24.06,43.0,,23.48,50.0
7934.234758615494,,24.06,43.0,,23.48,50.0
7939.179219007492,,24.09,43.0,,23.48,50.0
7944.1075122356415,,24.02,43.0,,23.48,48.0
7949.049366235733,,24.06,43.0,,23.48,48.0
7954.142138004303,,24.02,43.0,,23.48,48.0
7959.103387832642,,24.09,43.0,,23.48,48.0
7964.064380407333,,24.02,43.0,,23.48,48.0
7968.976244688034,,24.09,43.0,,23.48,48.0
7973.929007768631,,24.09,43.0,,23.48,48.0
7978.929026603699,,23.99,43.0,,23.48,48.0
7983.890794754028,,24.12,43.0,,23.48,48.0
7988.832377910614,,24.02,43.0,,23.48,48.0
7993.812534093857,,24.09,43.0,,23.48,48.0
7998.732614040375,,24.06,43.0,,23.48,48.0
8003.657529830933,,24.02,43.0,,23.48,48.0
